a280,Reverse,Best Fit,34462,2935,302,8.855
a280,Reverse,Worst Fit,34462,3133,29999,21665.199
a280,Reverse,First Fit,34281,2761,1107,0.406
a280,Reverse,Best Fit,34281,2961,289,9.246
a280,Reverse,Worst Fit,34281,3042,29829,1364.141
a280,Reverse,First Fit,34820,2882,1112,0.414
a280,Reverse,Best Fit,34820,2878,310,9.879
a280,Reverse,Worst Fit,34820,2962,30345,1354.871
a280,Reverse,First Fit,34247,2919,1056,0.429
a280,Reverse,Best Fit,34247,2768,301,9.229
a280,Reverse,Worst Fit,34247,3027,29764,1306.823
a280,Reverse,First Fit,35356,2926,1192,0.488
a280,Reverse,Best Fit,35356,2785,320,10.718
a280,Reverse,Worst Fit,35356,3148,31057,1482.170
a280,Reverse,First Fit,33190,2920,1102,0.274
a280,Reverse,Best Fit,33190,2834,316,9.595
a280,Reverse,Worst Fit,33190,2976,28720,1217.489
a280,Reverse,First Fit,34260,2935,1121,0.446
a280,Reverse,Best Fit,34260,2930,303,10.25
a280,Reverse,Worst Fit,34260,3080,29767,1364.188
a280,Reverse,First Fit,34119,2947,1088,0.409
a280,Reverse,Best Fit,34119,2836,307,9.775
a280,Reverse,Worst Fit,34119,3102,29655,1355.464
a280,Reverse,First Fit,33696,2938,1130,0.401
a280,Reverse,Best Fit,33696,2908,310,10.513
a280,Reverse,Worst Fit,33696,3024,29269,1371.575
ali535,Reverse,First Fit,13672,208,1393,0.808
ali535,Reverse,Best Fit,13672,208,396,56.504
ali535,Reverse,Worst Fit,13672,208,6582,1045.48
ali535,Reverse,First Fit,13658,208,1359,0.869
ali535,Reverse,Best Fit,13658,208,405,55.280
ali535,Reverse,Worst Fit,13658,208,6571,1019.191
ali535,Reverse,First Fit,13624,208,1315,0.720
ali535,Reverse,Best Fit,13624,210,402,54.129
ali535,Reverse,Worst Fit,13624,208,6541,1008.322
ali535,Reverse,First Fit,13522,208,1358,0.777
ali535,Reverse,Best Fit,13522,208,407,52.787
ali535,Reverse,Worst Fit,13522,208,6495,965.647
ali535,Reverse,First Fit,13280,208,1308,0.753
ali535,Reverse,Best Fit,13280,208,400,52.609
ali535,Reverse,Worst Fit,13280,208,6394,954.742
ali535,Reverse,First Fit,12890,208,1365,0.800
ali535,Reverse,Best Fit,12890,208,397,52.364
ali535,Reverse,Worst Fit,12890,208,6204,932.247
ali535,Reverse,First Fit,13218,208,1297,0.817
ali535,Reverse,Best Fit,13218,208,398,51.720
ali535,Reverse,Worst Fit,13218,208,6354,944.314
ali535,Reverse,First Fit,12818,208,1288,0.823
ali535,Reverse,Best Fit,12818,208,396,52.81
ali535,Reverse,Worst Fit,12818,208,6143,917.959
ali535,Reverse,First Fit,13604,208,1385,0.786
ali535,Reverse,Best Fit,13604,208,410,58.64
ali535,Reverse,Worst Fit,13604,208,6554,1035.974
ali535,Reverse,First Fit,13322,208,1342,0.735
ali535,Reverse,Best Fit,13322,208,406,55.933
ali535,Reverse,Worst Fit,13322,208,6392,1006.744
ali535,Reverse,First Fit,13774,208,1352,0.818
ali535,Reverse,Best Fit,13774,208,401,55.151
ali535,Reverse,Worst Fit,13774,208,6627,1049.786
ali535,Reverse,First Fit,13466,208,1348,0.813
ali535,Reverse,Best Fit,13466,208,401,54.421
ali535,Reverse,Worst Fit,13466,208,6477,1009.964
ali535,Reverse,First Fit,14038,208,1320,0.722
ali535,Reverse,Best Fit,14038,208,388,52.683
ali535,Reverse,Worst Fit,14038,208,6750,1081.237
ali535,Reverse,First Fit,13444,208,1312,0.615
ali535,Reverse,Best Fit,13444,208,400,54.719
ali535,Reverse,Worst Fit,13444,208,6468,976.361
ali535,Reverse,First Fit,13384,208,1319,0.690
ali535,Reverse,Best Fit,13384,210,397,54.491
ali535,Reverse,Worst Fit,13384,208,6427,1010.999
ali535,Reverse,First Fit,13100,208,1316,0.694
ali535,Reverse,Best Fit,13100,208,409,53.990
ali535,Reverse,Worst Fit,13100,208,6291,943.434
ali535,Reverse,First Fit,13382,208,1338,0.717
